tipo_dados, oversample, h_layer_size, h_layer_num, regularizer,regularizer_lambda, epochs, f1, loss
SUB-IT, true, 16, 1, L2, 1e-3, 5, 0.5462126513226879, 3.7633898704329884
SUB-IT, true, 16, 1, L2, 1e-3, 15, 0.6936684872477039, 1.9952870486704117
SUB-IT, true, 16, 2, L1, 1e-2, 1, 0.34346687215622956, 6.906855536384817
SUB-IT, true, 16, 2, L1, 1e-2, 5, 0.4782134040841516, 5.101446230718695
SUB-IT, true, 16, 2, L1, 1e-2, 15, 0.5162461122616822, 4.13440358711898
SUB-IT, true, 16, 2, L1, 1e-3, 1, 0.34346687215622956, 5.529973742420688
SUB-IT, true, 16, 2, L1, 1e-3, 5, 0.4782134040841516, 3.7444574408735964
SUB-IT, true, 16, 2, L1, 1e-3, 15, 0.5162461122616822, 2.806114800137245
SUB-IT, true, 16, 2, L2, 1e-2, 1, 0.34346687215622956, 5.7321018207292616
SUB-IT, true, 16, 2, L2, 1e-2, 5, 0.4782134040841516, 3.939543167506259
SUB-IT, true, 16, 2, L2, 1e-2, 15, 0.5162461122616822, 2.990607305538435
SUB-IT, true, 16, 2, L2, 1e-3, 1, 0.34346687215622956, 5.412423290357999
SUB-IT, true, 16, 2, L2, 1e-3, 5, 0.4782134040841516, 3.6279999719806977
SUB-IT, true, 16, 2, L2, 1e-3, 15, 0.5162461122616822, 2.6906740767824138
SUB-IT, true, 32, 1, L1, 1e-2, 1, 0.1885761047463175, 12.072555237752528
SUB-IT, true, 32, 1, L1, 1e-2, 5, 0.49556093623890235, 4.8027282185349724
SUB-IT, true, 32, 1, L1, 1e-2, 15, 0.657435308535117, 3.5933616600153635
SUB-IT, true, 32, 1, L1, 1e-3, 1, 0.1885761047463175, 10.45031832185991
SUB-IT, true, 32, 1, L1, 1e-3, 5, 0.49556093623890235, 3.1983767740565576
SUB-IT, true, 32, 1, L1, 1e-3, 15, 0.657435308535117, 2.0146633503627194
SUB-IT, true, 32, 1, L2, 1e-2, 1, 0.1885761047463175, 10.61056812555512
SUB-IT, true, 32, 1, L2, 1e-2, 5, 0.49556093623890235, 3.3548866795615915
SUB-IT, true, 32, 1, L2, 1e-2, 15, 0.657435308535117, 2.1668638795431407
SUB-IT, true, 32, 1, L2, 1e-3, 1, 0.1885761047463175, 10.303988368964633
SUB-IT, true, 32, 1, L2, 1e-3, 5, 0.49556093623890235, 3.0530786185176826
SUB-IT, true, 32, 1, L2, 1e-3, 15, 0.657435308535117, 1.8702474258428703
SUB-IT, true, 32, 2, L1, 1e-2, 1, 0.2652975439860686, 7.8392274306595695
