tipo_dados, oversample, penalty, c, max_iter, f1, loss
AP-COV, true, l1, 0.01, 1, 0.7854673388929055, 0.5977169762273195
AP-COV, true, l1, 0.01, 5, 0.7670995670995671, 0.6327503288990886
AP-COV, true, l1, 0.01, 15, 0.7670995670995671, 0.6355571850150064
AP-COV, true, l1, 0.1, 1, 0.8053315892865097, 0.5066104266230551
AP-COV, true, l1, 0.1, 5, 0.8144199271632169, 0.45204899112239505
AP-COV, true, l1, 0.1, 15, 0.8265346613229634, 0.44559708285024296
AP-COV, true, l1, 1.0, 1, 0.7998814604077762, 0.49709645897050103
AP-COV, true, l1, 1.0, 5, 0.8239748475388804, 0.41324643861577104
AP-COV, true, l1, 1.0, 15, 0.8306784587303712, 0.3840369789917611
AP-COV, true, l1, 10, 1, 0.7998814604077762, 0.49626704044155373
AP-COV, true, l1, 10, 5, 0.8239748475388804, 0.4096603521299572
AP-COV, true, l1, 10, 15, 0.8306784587303712, 0.3767241088918982
AP-COV, true, l2, 0.01, 1, 0.7998814604077762, 0.4975319027400168
AP-COV, true, l2, 0.01, 5, 0.8239748475388804, 0.41135674118409665
AP-COV, true, l2, 0.01, 15, 0.8306784587303712, 0.37582325127687743
AP-COV, true, l2, 0.1, 1, 0.7998814604077762, 0.4963112175395914
AP-COV, true, l2, 0.1, 5, 0.8239748475388804, 0.4094532126858621
AP-COV, true, l2, 0.1, 15, 0.8306784587303712, 0.37571781783250113
AP-COV, true, l2, 1.0, 1, 0.7998814604077762, 0.4961899581751669
AP-COV, true, l2, 1.0, 5, 0.8239748475388804, 0.4092896135665011
AP-COV, true, l2, 1.0, 15, 0.8306784587303712, 0.3759486792506213
AP-COV, true, l2, 10, 1, 0.7998814604077762, 0.4961778406251861
AP-COV, true, l2, 10, 5, 0.8239748475388804, 0.40927353995361704
AP-COV, true, l2, 10, 15, 0.8306784587303712, 0.37597459543827627
AP-COV, false, l1, 0.01, 1, 0.7074290199290199, 0.719414545079475
AP-COV, false, l1, 0.01, 5, 0.5947451077018566, 0.7615727438686948
AP-COV, false, l1, 0.01, 15, 0.5841741268869254, 0.7812349928728431
AP-COV, false, l1, 0.1, 1, 0.8108104175760221, 0.5522747965953245
AP-COV, false, l1, 0.1, 5, 0.8454689603884777, 0.4581900549399467
AP-COV, false, l1, 0.1, 15, 0.822581421412554, 0.44584939407220314
AP-COV, false, l1, 1.0, 1, 0.8292286014892698, 0.53003181825492
AP-COV, false, l1, 1.0, 5, 0.8596751721890765, 0.3977319681856774
AP-COV, false, l1, 1.0, 15, 0.849700424714329, 0.3519258524709917
AP-COV, false, l1, 10, 1, 0.8292286014892698, 0.5278161106867869
AP-COV, false, l1, 10, 5, 0.8596751721890765, 0.3915561678219121
AP-COV, false, l1, 10, 15, 0.849700424714329, 0.33950265617890135
AP-COV, false, l2, 0.01, 1, 0.8292286014892698, 0.5306612401645173
